id,id_venda,id_produto,preco_produto,quantidade
17716604051736,100000,34,5.5,4
13402033493463,100000,34,5.5,2
42098515679531,100001,303,300.0,5
44797116026599,100001,3,30000.0,5
74224236200947,100001,398,10000.0,5
16064125672894,100002,398,10000.0,5
52306765700790,100004,234,3000.0,1
90285669578971,100004,34,5.5,5
10695528107886,100006,398,10000.0,5
81704837360906,100007,3,30000.0,5
71425139984874,100008,234,3000.0,3
27571682100815,100008,303,300.0,2
50641096643008,100008,303,300.0,5
66308874429028,100009,3032,50.0,1
69562061830739,100009,3,30000.0,3
53171209812319,100010,3,30000.0,4
74357662167819,100010,303,300.0,2
36090950213867,100011,303,300.0,5
96742775576985,100012,234,3000.0,1
23328630501051,100012,234,3000.0,2
56564946360242,100013,303,300.0,4
97125277402858,100013,3032,50.0,4
82970075818093,100014,303,300.0,4
54739850491880,100014,303,300.0,1
43801417512912,100014,3,30000.0,4
33574355106024,100015,3032,50.0,3
89173366975547,100015,398,10000.0,3
12690546543385,100015,234,3000.0,2
71034775765515,100016,3,30000.0,3
76497111925817,100017,34,5.5,1
37458595532989,100018,34,5.5,4
27382479649967,100019,3,30000.0,3
27663076353889,100019,398,10000.0,1
80620493446100,100019,3032,50.0,3
39633459952203,100020,3032,50.0,5
46879427430808,100021,303,300.0,2
85036316824853,100021,234,3000.0,2
14883428946485,100022,234,3000.0,1
72049922873453,100022,234,3000.0,3
28560122481218,100022,34,5.5,1
57022643115187,100023,3,30000.0,2
40627699699287,100023,234,3000.0,1
55268666054659,100023,303,300.0,5
71281446276136,100024,3,30000.0,4
12012803481222,100025,3,30000.0,4
91183664603933,100026,34,5.5,2
63419388056550,100026,303,300.0,2
26002037351760,100026,3,30000.0,5
16607136475049,100027,3032,50.0,4
47482687623176,100027,398,10000.0,5
24685256060736,100028,3,30000.0,2
5473289565722,100029,398,10000.0,5
23165279067461,100029,3,30000.0,1
96238411866813,100030,398,10000.0,2
2444091001915,100030,303,300.0,5
10885016688100,100031,398,10000.0,2
13452388844512,100031,3032,50.0,1
50368761747220,100032,398,10000.0,1
86867918111430,100033,34,5.5,2
55979800183447,100033,3,30000.0,4
98217301691182,100033,234,3000.0,3
7276823248290,100034,303,300.0,3
89120929199361,100035,303,300.0,5
67932431694012,100035,3032,50.0,4
79615875113204,100035,3032,50.0,5
17591023854462,100037,398,10000.0,4
81641054969278,100037,3,30000.0,5
53781554854683,100037,34,5.5,3
28497055727738,100038,3,30000.0,4
57527270830673,100039,398,10000.0,1
22674304497681,100040,3032,50.0,4
2415650323421,100040,398,10000.0,3
50551175578480,100040,303,300.0,2
704714832779,100041,3,30000.0,2
38084985051760,100042,34,5.5,3
52332580243090,100043,3032,50.0,3
39625302197549,100043,34,5.5,4
64050170000726,100043,303,300.0,2
14907816968480,100044,34,5.5,3
171541709649,100044,3,30000.0,1
57564416907116,100045,303,300.0,5
6397222696718,100045,3032,50.0,5
76287841877320,100046,3032,50.0,5
30622563702450,100047,398,10000.0,5
86723271881834,100048,303,300.0,1
5820119400149,100048,303,300.0,3
98741169812315,100049,398,10000.0,1
91471934955009,100049,3,30000.0,5
81745842920343,100050,398,10000.0,2
55928008479199,100050,3,30000.0,4
721878071945,100050,3032,50.0,4
55754767434163,100051,234,3000.0,2
94201323801644,100052,34,5.5,4
31413309299391,100053,398,10000.0,4
39861643548000,100053,398,10000.0,4
26918058575597,100053,234,3000.0,3
72103410093476,100054,234,3000.0,5
67042810993597,100054,3032,50.0,1
7827768717348,100055,303,300.0,1
24976759002158,100055,34,5.5,4
4054194535732,100056,398,10000.0,5
82930308571022,100056,398,10000.0,5
39520939902442,100056,303,300.0,4
43863207950352,100057,3,30000.0,5
40342988210822,100057,234,3000.0,2
14350385857447,100058,34,5.5,1
36125952075288,100059,3032,50.0,4
42806733796051,100059,34,5.5,3
11645821404859,100060,34,5.5,3
81061558333683,100060,303,300.0,5
90277532818735,100060,3,30000.0,3
10857500540869,100062,3,30000.0,1
71724800484485,100062,34,5.5,2
35146430700260,100063,3,30000.0,2
22855910271307,100063,3032,50.0,1
66298257237412,100064,3,30000.0,2
62483802175352,100064,3,30000.0,3
54729918154816,100064,234,3000.0,3
10902002956544,100065,234,3000.0,2
53630558098103,100066,3032,50.0,3
66987825072263,100066,3032,50.0,4
32457424605051,100067,3,30000.0,5
74609098991425,100067,3032,50.0,1
70866764986214,100067,303,300.0,5
98245065498371,100068,34,5.5,2
18660533081221,100069,34,5.5,1
14168130680291,100069,3,30000.0,1
64418800165157,100069,234,3000.0,3
78711830191328,100070,3032,50.0,4
21187181005704,100070,234,3000.0,1
48397844773546,100070,234,3000.0,1
22624842931727,100071,234,3000.0,1
8745719261339,100071,3032,50.0,2
63989341814556,100072,3032,50.0,3
82985283566855,100072,3,30000.0,3
78889749778137,100073,398,10000.0,5
54184843395206,100073,3032,50.0,5
50280404798168,100073,303,300.0,1
8413209802551,100074,3,30000.0,5
19437135726839,100074,3032,50.0,4
98269053958633,100075,3,30000.0,2
